Row ID,Order ID,Order Date,Ship Date,Ship Month,Ship Mode,Customer ID,Customer Name,Gender,Segment,Contact ID,Addressline,Contact,Email,Postal Code,City,State,Country,Region,Market,Product ID,Category ID,Category,Sub Category ID,Sub-Category,Product Name,Unit Price,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year
1,ORD-2018-0001,06-Sep-18,10-Sep-18,September,Second Class,CUST-2018-0001,Ajiono Saefullah,Male,Home Office,CO-01,Jl. Dr. Djunjunan No. 8,0823-809570,bfirmansyah@cv.or.id,83863,Semarang,Kepulauan Riau,Indonesia,Central,US,PROD-0001,CAT-01,Furniture,SC-01,Chairs,Chairs - Ab,137.4573702,412.3721107,4,0.25,68.52442213,13.95,Critical,2018
2,ORD-2017-0002,22-Oct-17,30-Oct-17,October,Standard Class,CUST-2017-0002,"R.M. Nalar Anggraini, S.Psi",Male,Consumer,CO-02,Jl. Sadang Serang No. 161,0899-543143,nova40@hotmail.com,81618,Sorong,Papua,Indonesia,South,LATAM,PROD-0002,CAT-01,Furniture,SC-02,Tables,Tables - Repellat,100.3188348,571.8173584,6,0.05,93.21347168,21.15,Low,2017
3,ORD-2020-0003,15-Mar-20,20-Mar-20,March,First Class,CUST-2020-0003,"Betania Gunawan, S.H.",Female,Home Office,CO-03,Jl. Dipenogoro No. 47,0825-496922,opungthamrin@gmail.com,19283,Pangkalpinang,Papua Barat,Indonesia,Central,LATAM,PROD-0003,CAT-03,Technology,SC-03,Copiers,Copiers - Fugit,171.4631849,336.0678423,2,0.02,49.19356846,18.02,High,2020
4,ORD-2017-0004,26-Dec-17,28-Dec-17,December,Same Day,CUST-2017-0004,"Malik Puspita, S.H.",Female,Corporate,CO-04,Jl. BKR No. 64,0891-974628,jessicasihotang@pd.my.id,42388,Tidore Kepulauan,Sulawesi Selatan,Indonesia,South,EMEA,PROD-0004,CAT-02,Office Supplies,SC-04,Art,Art - Reprehenderit,106.8307656,347.1999882,5,0.35,61.22999763,8.21,Medium,2017
5,ORD-2020-0005,04-Jun-20,08-Jun-20,June,Second Class,CUST-2020-0005,Gawati Mandala,Female,Corporate,CO-05,Jl. Gardujati No. 269,0844-771088,mwibowo@perum.int,51462,Ambon,Kepulauan Bangka Belitung,Indonesia,East,LATAM,PROD-0005,CAT-01,Furniture,SC-02,Tables,Tables - Provident,126.3842803,606.6445455,6,0.2,75.23890909,46.09,Low,2020
6,ORD-2017-0006,23-Oct-17,31-Oct-17,October,Same Day,CUST-2017-0006,Jono Kurniawan,Female,Consumer,CO-06,Jl. Soekarno Hatta No. 880,0843-246413,hbudiyanto@yahoo.com,30391,Tegal,Sumatera Barat,Indonesia,East,LATAM,PROD-0006,CAT-03,Technology,SC-05,Machines,Machines - Atque,89.0084314,510.9083962,7,0.18,90.96167925,11.22,Critical,2017
7,ORD-2016-0007,22-Oct-16,23-Oct-16,October,First Class,CUST-2016-0007,KH. Budi Mahendra,Male,Home Office,CO-07,Gg. Ahmad Dahlan No. 6,0830-930555,leowacana@pd.int,31509,Semarang,Kalimantan Timur,Indonesia,West,APAC,PROD-0007,CAT-02,Office Supplies,SC-06,Envelopes,Envelopes - Ab,118.4107033,700.9913634,8,0.26,96.45827269,43.74,High,2016
8,ORD-2016-0008,28-Jan-16,06-Feb-16,February,Standard Class,CUST-2016-0008,"Siti Halim, S.H.",Female,Consumer,CO-08,Gg. Ciumbuleuit No. 3,0847-555884,iprabowo@gmail.com,37631,Surabaya,Sulawesi Selatan,Indonesia,East,US,PROD-0008,CAT-01,Furniture,SC-07,Bookcases,Bookcases - Libero,335.947818,755.8825905,3,0.25,118.0365181,33.14,Medium,2016
9,ORD-2017-0009,14-Jun-17,20-Jun-17,June,Second Class,CUST-2017-0009,Nadia Habibi,Male,Home Office,CO-09,Gg. Sadang Serang No. 333,0851-612340,suryanajmudin@yahoo.com,31781,Sungai Penuh,Aceh,Indonesia,Central,APAC,PROD-0009,CAT-02,Office Supplies,SC-04,Art,Art - Consectetur,230.2415309,515.7410292,4,0.44,94.29820585,8.85,Critical,2017
10,ORD-2016-0010,25-Dec-16,03-Jan-17,January,Second Class,CUST-2016-0010,"Sutan Caturangga Wasita, M.Kom.",Male,Home Office,CO-10,Gg. Cikutra Barat No. 606,0870-676510,bsuwarno@hotmail.com,23430,Tidore Kepulauan,Maluku Utara,Indonesia,East,LATAM,PROD-0010,CAT-03,Technology,SC-05,Machines,Machines - Aspernatur,382.4101032,2133.848376,9,0.38,389.6896752,37.08,Critical,2016
